,i,OR,SE,upper,lower
1,ukb-b-19953,0.987495571,0.0627602,1.116754517,0.873197725
2,ukb-b-7376,0.983340048,0.065759198,1.118611002,0.864427088
3,ukb-b-14068,0.984883025,0.065004599,1.118710423,0.867064929
4,ukb-b-7859,0.979266694,0.067913907,1.118691834,0.857218429
5,ukb-b-19379,0.98329274,0.066357137,1.119868858,0.863373069
6,ukb-b-19921,0.982906339,0.066247058,1.119187293,0.863220015
7,ukb-b-10787,0.981016353,0.066998081,1.118680751,0.86029288
8,ebi-a-GCST004607,0.989456014,0.064299955,1.122353639,0.872294765
9,ebi-a-GCST004626,0.989186665,0.064489322,1.122464648,0.871733698
10,ukb-d-30080_irnt,0.985752774,0.064193513,1.11791975,0.869211346
11,ieu-b-30,0.986492847,0.064110459,1.118576949,0.870005536
12,ebi-a-GCST005195,0.984507516,0.063924591,1.115919191,0.868571002
13,ebi-a-GCST004614,0.987626692,0.064350984,1.120390667,0.870594972
14,ebi-a-GCST004620,0.986232574,0.064240777,1.1185675,0.869553864
15,ukb-b-19953,0.943554654,0.070601016,1.083587182,0.821618601
16,ukb-b-7376,0.94352209,0.072946264,1.088541989,0.817822319
17,ukb-b-14068,0.943781276,0.07246823,1.087821303,0.818813801
18,ukb-b-7859,0.942566231,0.074266898,1.090257634,0.814881796
19,ukb-b-19379,0.943577112,0.073433061,1.089644625,0.817090036
20,ukb-b-19921,0.943622172,0.073280104,1.089370023,0.817374064
21,ukb-b-10787,0.941866731,0.073639728,1.088110143,0.815278622
22,ebi-a-GCST004607,0.945388543,0.072338977,1.089397854,0.820416062
23,ebi-a-GCST004626,0.945591404,0.072361014,1.08967868,0.820556665
24,ukb-d-30080_irnt,0.943371138,0.071761356,1.085843121,0.819592707
25,ieu-b-30,0.943522915,0.071817732,1.086137829,0.819633998
26,ebi-a-GCST005195,0.942336708,0.071234523,1.083533041,0.819539819
27,ebi-a-GCST004614,0.94452789,0.072087579,1.08786993,0.820073163
28,ebi-a-GCST004620,0.943436228,0.071830495,1.086065207,0.819538192
