,i,OR,lower,upper,,beta,se,,
1,ukb-b-19953,2.14,1.46,3.13,,-0.138280137,0.035400999,,0.870854699
2,ukb-b-7376,2.11,1.43,3.13,,-0.136050353,0.036399618,,0.872798684
3,ukb-b-14068,2.19,1.40,3.42,,-0.14221824,0.041384561,,0.867431928
4,ukb-b-7859,2.16,1.41,3.32,,-0.139958066,0.039781028,,0.869394692
5,ukb-b-19379,2.15,1.41,3.29,,-0.139529559,0.039405821,,0.869767313
6,ukb-b-19921,2.13,1.43,3.17,,-0.137049857,0.037053514,,0.871926753
7,ukb-b-10787,2.20,1.39,3.49,,-0.143699774,0.042505002,,0.866147749
8,ebi-a-GCST004607,2.11,1.37,3.25,,-0.135712127,0.040044934,,0.873093936
9,ebi-a-GCST004626,2.15,1.40,3.30,,-0.139328505,0.039659596,,0.869942201
10,ukb-d-30080_irnt,2.18,1.43,3.34,,-0.141950059,0.039402515,,0.867664588
11,ieu-b-30,2.16,1.41,3.30,,-0.13961651,0.039549556,,0.869691689
12,ebi-a-GCST005195,2.21,1.46,3.35,,-0.144525953,0.038507916,,0.865432451
13,ebi-a-GCST004614,2.15,1.40,3.30,,-0.139351339,0.039648785,,0.869922337
14,ebi-a-GCST004620,2.16,1.41,3.31,,-0.140023516,0.039501413,,0.869337792
