,i,OR,upper,lower,beta,OR,SE
1,ukb-b-19953,2.00,3.36,1.19,-0.082597965,0.920721235,0.031548221
2,ukb-b-7376,2.00,3.35,1.19,-0.082354622,0.920945314,0.031492263
3,ukb-b-14068,2.00,3.36,1.19,-0.08251685,0.920795922,0.031491383
4,ukb-b-7859,2.01,3.38,1.20,-0.083228628,0.920140754,0.031482327
5,ukb-b-19379,2.01,3.37,1.20,-0.08309847,0.920260525,0.031481684
6,ukb-b-19921,2.00,3.36,1.19,-0.082582952,0.920735058,0.031486115
7,ukb-b-10787,2.04,3.43,1.22,-0.085139347,0.918384302,0.031479086
8,ebi-a-GCST004607,1.98,3.33,1.17,-0.08123516,0.921976854,0.031653052
9,ebi-a-GCST004626,2.01,3.37,1.19,-0.082909705,0.920434254,0.031515802
10,ukb-d-30080_irnt,2.03,3.41,1.21,-0.084364208,0.919096453,0.031485213
11,ieu-b-30,2.01,3.38,1.20,-0.083108764,0.920251052,0.031486144
12,ebi-a-GCST005195,2.05,3.46,1.22,-0.085675591,0.917891956,0.031690691
13,ebi-a-GCST004614,2.01,3.37,1.19,-0.082915695,0.920428741,0.031502399
14,ebi-a-GCST004620,2.01,3.38,1.20,-0.083389262,0.919992959,0.031514177
